,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
356,3,19:09,blocked_shot,Pittsburgh Penguins,Nick Bonino blocked shot from Joonas Donskoi,Joonas Donskoi,Nick Bonino,NA,54,-5,NA,3,1,1
357,3,19:14,shot,San Jose Sharks,Joonas Donskoi Wrist Shot saved by Matthew Murray,Joonas Donskoi,NA,wrist_shot,57,-25,NA,3,1,1
358,3,19:25,blocked_shot,Pittsburgh Penguins,Eric Fehr blocked shot from Logan Couture,Logan Couture,Eric Fehr,NA,53,14,NA,3,1,1
359,3,19:29,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,3,1,0
360,3,19:29,faceoff,San Jose Sharks,Joe Pavelski faceoff won against Nick Bonino,Joe Pavelski,Nick Bonino,NA,69,-22,NA,3,1,0
361,3,19:35,missed_shot,San Jose Sharks,Logan Couture - Wide of Net,Logan Couture,NA,NA,35,1,NA,3,1,1
362,3,19:44,blocked_shot,San Jose Sharks,Logan Couture blocked shot from Carl Hagelin,Carl Hagelin,Logan Couture,NA,62,11,NA,3,1,1
363,3,19:50,penalty,Pittsburgh Penguins,Eric Fehr Hi-sticking against Joe Pavelski,Eric Fehr,Joe Pavelski,hi-sticking,32,4,NA,3,1,0
364,3,19:50,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Pavelski,Sidney Crosby,Joe Pavelski,NA,69,-22,NA,3,1,0
365,3,19:54,blocked_shot,Pittsburgh Penguins,Sidney Crosby blocked shot from Marc-Edouard Vlasic,Marc-Edouard Vlasic,Sidney Crosby,NA,62,-10,NA,3,1,1
366,3,20:00,period_end,NA,End of 3rd Period,NA,NA,NA,NA,NA,NA,3,1,0
